Frame 1: Predicted URLLC = 2717, eMBB = 2779, mMTC = 2803, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 72: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.83
Frame 73: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.84
Frame 74: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.84
Frame 75: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.84
Frame 76: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.84
Frame 77: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.84
Frame 78: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.85
Frame 79: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.85
Frame 80: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.85
Frame 81: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.85
Frame 82: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.85
Frame 83: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.86
Frame 84: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.86
Frame 85: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.86
Frame 86: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.86
Frame 87: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.86
Frame 88: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.86
Frame 89: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.87
Frame 90: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.87
Frame 91: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.87
Frame 92: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.87
Frame 93: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.87
Frame 94: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.87
Frame 95: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.87
Frame 96: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.88
Frame 97: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.88
Frame 98: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.88
Frame 99: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.88
Frame 100: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.88

Final Success Rate over 100 frames: 0.88
